91753
56347	988	9528
33070	476	4426
37057	1066	34087
40679	1066	51778
58852	1085	14687
55076	1254	1933
58685	1254	19869
39879	1085	23859
56211	1085	8290
44795	1192	50971
47850	1085	27599
55992	1085	41333
40419	1066	44820
56853	1254	4255
31297	1254	15719
57023	82	9541
35386	74	42116
53293	236	34517
56951	1066	45550
43602	309	48632
56461	1085	4657
57918	1066	58657
58909	465	48749
53197	1085	3098
33357	1085	527
38485	82	16473
56409	1085	23320
55128	1254	12410
54952	930	25884
35237	476	28182
56071	476	19911
55757	1192	51472
50485	1254	25031
34011	1066	33892
38482	1085	18019
56646	71	8235
45416	1254	21374
41096	1254	1897
38142	1120	24080
56436	1254	21198
30957	1254	4487
32791	1254	2823
55941	476	45423
54014	1192	43230
55595	1254	2619
53861	1085	2601
48950	1066	46310
55902	1066	51381
50545	1085	24864
39451	1085	24395
32524	1066	50458
36345	476	29095
55596	1066	41910
55932	1254	5398
31510	1085	3863
48548	476	8290
35374	476	23148
54940	309	53634
54500	658	49550
41429	1085	7600
55862	1085	15394
54131	658	53696
34967	1002	25926
46300	795	2391
54981	1192	37804
52618	1192	44017
36662	630	3964
54862	1254	24401
36832	191	52745
30489	1254	10958
40348	1066	48561
55281	1085	10164
54927	1120	28038
55945	1254	20875
35130	1254	3029
40743	476	23304
48874	1066	30421
55607	1085	14435
52866	1254	9596
55254	1066	40341
56459	476	19398
46862	1254	12144
47642	476	4330
53596	1254	14657
55846	1085	17629
35246	1085	2831
36309	1254	7166
47524	739	9694
36265	476	4162
46897	858	58334
40410	658	39628
36743	309	36638
35847	175	36187
50775	1066	59084
55969	1085	25142
32191	1085	16435
40681	1254	21817
36527	1002	19769
55719	1254	4554
38656	1254	2333
47612	1254	21043
37670	1085	4553
47981	1085	23929
60216	1085	59631
34674	1085	40980
33340	88	33342
56302	476	8279
48027	1085	24123
45301	1254	3031
45202	1085	28133
44567	1254	14217
56454	476	8290
54584	88	25224
45282	476	9095
42830	1254	21826
49082	1254	6483
43264	700	5519
57785	1085	1407
56127	74	37392
